<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160128,000000,16.8500000,17.1050000,16.0800000,16.1750000,13589111
20160129,000000,16.4950000,16.5450000,15.9700000,16.4000000,13334317
20160201,000000,16.4950000,16.6050000,16.2400000,16.3200000,11551838
20160202,000000,16.2650000,16.2650000,15.6200000,15.6850000,14625793
20160203,000000,15.5000000,15.5000000,14.6100000,14.7400000,18933947
20160204,000000,15.0500000,15.3600000,14.7100000,15.1500000,15018033
20160205,000000,15.1200000,15.5500000,14.9100000,15.2700000,12678711
20160208,000000,15.3500000,15.3700000,13.4650000,13.8200000,23026712
20160209,000000,14.1000000,14.5650000,13.0300000,13.2300000,23162437
20160210,000000,13.7900000,15.4300000,13.5000000,14.5800000,28594631
20160211,000000,14.2950000,14.2950000,13.1350000,13.6850000,25125525
20160212,000000,14.0300000,15.3850000,13.9350000,15.3000000,27750423
20160215,000000,16.0350000,16.0500000,15.0350000,15.2550000,16419538
20160216,000000,15.3700000,15.3800000,14.3100000,15.2150000,15159836
20160217,000000,15.1800000,16.2700000,15.0350000,16.1800000,14315433
20160218,000000,16.2900000,16.3000000,15.3900000,15.5100000,13556801
20160219,000000,15.4200000,15.7500000,14.9850000,15.2000000,13821323
20160222,000000,15.3150000,15.8450000,15.2700000,15.8000000,10465461
20160223,000000,15.6700000,15.8550000,15.1950000,15.2200000,11165045
20160224,000000,15.1750000,15.2700000,14.5700000,14.6450000,11340527
20160225,000000,14.8800000,15.2250000,14.7800000,15.0400000,10749157
20160226,000000,15.2450000,15.9900000,15.2250000,15.9100000,10278093
20160229,000000,15.7100000,16.0000000,15.3550000,15.9850000,8887135
20160301,000000,15.9100000,16.3600000,15.7550000,16.3400000,7741870
20160302,000000,16.5000000,17.2700000,16.4700000,17.1800000,12323679
20160303,000000,17.3100000,17.8950000,17.1300000,17.6400000,11324884
20160304,000000,17.8000000,18.0850000,17.6150000,18.0150000,12359722
20160307,000000,17.9000000,17.9950000,17.1900000,17.7400000,8598175
20160308,000000,17.4100000,17.8350000,17.1900000,17.3650000,9347803
20160309,000000,17.3000000,17.6650000,17.0550000,17.2200000,8374876
20160310,000000,17.2350000,18.6500000,17.0300000,17.0700000,24175810
20160311,000000,17.4150000,18.3800000,17.4000000,18.3400000,16219949
20160314,000000,18.6200000,18.8350000,18.3850000,18.5300000,11570038
20160315,000000,18.4000000,18.5050000,17.9050000,18.0500000,9830115
20160316,000000,18.1100000,18.1600000,16.9350000,17.2500000,17469082
20160317,000000,17.4500000,17.4900000,16.2400000,16.9000000,14282285
20160318,000000,16.9600000,17.3600000,16.5200000,17.0750000,17109312
20160321,000000,16.9450000,17.4700000,16.7450000,16.9150000,7736412
20160322,000000,16.7200000,16.7200000,16.2650000,16.7050000,9196803
20160323,000000,16.7950000,16.9300000,16.0850000,16.2250000,9909064
20160324,000000,16.0800000,16.1950000,15.5300000,15.6150000,10044510
20160329,000000,15.7200000,15.9250000,15.1550000,15.3650000,7630878
20160330,000000,15.5100000,15.7130000,15.1400000,15.1550000,10661163
20160331,000000,15.0600000,15.1500000,14.7650000,14.9500000,11298553
20160401,000000,14.7450000,15.3700000,14.6550000,14.9100000,10673076
20160404,000000,14.8650000,15.0300000,14.6250000,14.8000000,8836466
20160405,000000,14.5000000,14.5100000,14.0350000,14.0500000,10759155
20160406,000000,14.1000000,14.4550000,13.9650000,14.1650000,11964819
20160407,000000,14.2000000,14.2400000,13.6750000,13.7450000,10624174
20160408,000000,13.7200000,14.1400000,13.7200000,13.9900000,10113695
20160411,000000,14.0000000,14.3550000,13.8250000,14.0000000,10464214
20160412,000000,14.1000000,14.2050000,13.6200000,13.9800000,12398912
20160413,000000,14.2400000,15.3650000,14.2050000,15.3650000,18971770
20160414,000000,15.4000000,15.6200000,15.0800000,15.4150000,11962107
20160415,000000,15.3000000,15.3800000,15.0600000,15.3500000,6915091
20160418,000000,15.0500000,15.7000000,14.9100000,15.6250000,8646761
20160419,000000,15.7550000,16.0200000,15.5800000,15.6400000,9654122
20160420,000000,15.6250000,16.5000000,15.5300000,16.4400000,12155918
20160421,000000,16.5150000,17.0100000,16.4450000,16.7150000,11635886
20160422,000000,16.6500000,16.9600000,16.5800000,16.8000000,7476118
20160425,000000,16.8150000,16.9050000,15.9600000,16.0750000,9660822
20160426,000000,16.1300000,16.6400000,15.9900000,16.4400000,8549732
20160427,000000,16.4800000,16.8490000,16.4500000,16.7000000,8004564
20160428,000000,16.9000000,17.5400000,16.7250000,17.3600000,13557021
20160429,000000,17.1500000,17.1900000,16.4700000,16.4700000,11295492
20160502,000000,16.5700000,16.5950000,15.8400000,16.0300000,7815685
20160503,000000,15.9150000,15.9150000,15.0000000,15.0250000,12869181
20160504,000000,15.0750000,15.2950000,14.7750000,14.9450000,10468391
20160505,000000,15.0350000,15.0500000,14.5450000,14.6300000,7706744
20160506,000000,14.5100000,14.8850000,14.2350000,14.7400000,11562302
20160509,000000,14.9000000,15.1050000,14.5860000,14.6500000,7418105
20160510,000000,14.8100000,15.2900000,14.8100000,15.0050000,8338387
20160511,000000,14.9300000,15.0550000,14.5400000,14.7200000,8042755
20160512,000000,14.5950000,15.0250000,14.4500000,14.5200000,7496419
20160513,000000,14.4700000,14.8150000,14.2700000,14.6750000,7174861
20160517,000000,14.4500000,14.9650000,14.2700000,14.4100000,11593708
20160518,000000,14.3250000,14.7700000,14.1700000,14.7450000,9286197
20160519,000000,14.9500000,15.3400000,14.8400000,14.9400000,10433972
20160520,000000,15.1200000,15.2550000,14.9600000,15.1350000,7413579
20160523,000000,15.1800000,15.3350000,14.8700000,15.1600000,6764286
20160524,000000,14.9350000,15.5850000,14.8510000,15.5600000,7537505
20160525,000000,15.7500000,16.2500000,15.7300000,16.0950000,11625101
20160526,000000,16.0000000,16.3000000,15.7350000,16.1900000,8342243
20160527,000000,16.1050000,16.4300000,16.0650000,16.2850000,6691419
20160530,000000,16.3100000,16.4700000,16.3050000,16.3850000,3110048
20160531,000000,16.3750000,16.4900000,16.0250000,16.0550000,7664349
20160601,000000,15.9100000,15.9800000,15.3800000,15.6450000,9180573
20160602,000000,15.5900000,16.1200000,15.5300000,15.5950000,9065938
20160603,000000,15.7100000,15.7700000,14.9000000,15.0000000,11527619
20160606,000000,14.9800000,15.1900000,14.8000000,15.0500000,6655661
20160607,000000,15.2150000,15.6350000,15.2150000,15.2700000,10304770
20160608,000000,15.2400000,15.2600000,14.9350000,14.9950000,6690290
20160609,000000,14.9150000,14.9600000,14.6800000,14.7300000,7976621
20160610,000000,14.6200000,14.6200000,13.9700000,14.0350000,12938318
20160613,000000,13.8150000,13.8950000,13.4750000,13.5500000,12921152
20160614,000000,13.4000000,13.6200000,13.1200000,13.1600000,13674935
20160615,000000,13.3650000,13.6750000,13.1050000,13.2850000,15332415
20160616,000000,12.9500000,13.0500000,12.6850000,12.9950000,15691103
20160617,000000,13.2450000,13.8100000,13.2400000,13.6750000,21181701
20160620,000000,14.4050000,14.6250000,14.2950000,14.4800000,14635271
20160621,000000,14.5000000,14.8850000,14.4500000,14.8000000,11023316
20160622,000000,14.9100000,15.2700000,14.7300000,15.0800000,12591066
20160623,000000,15.1800000,15.7500000,15.0200000,15.5650000,16827096
20160624,000000,13.0000000,13.9450000,12.7600000,13.3650000,53702140
20160627,000000,13.3800000,13.4350000,12.0700000,12.5400000,43136435
20160628,000000,13.0250000,13.2000000,12.5750000,12.6450000,23158847
20160629,000000,12.8250000,13.0500000,12.4600000,12.6600000,16791604
20160630,000000,12.5000000,12.5400000,12.0500000,12.3250000,25962837
20160701,000000,12.4700000,12.8400000,12.2050000,12.5550000,14872772
20160704,000000,12.5000000,12.5500000,12.1200000,12.3350000,12719396
20160705,000000,12.2000000,12.4650000,12.1200000,12.2200000,13825101
20160706,000000,12.0650000,12.2650000,11.3050000,11.5400000,31522481
20160707,000000,11.6200000,11.8200000,11.3550000,11.4350000,18054124
20160708,000000,11.3800000,12.0500000,11.2150000,11.7550000,16700751
20160711,000000,11.9500000,12.0450000,11.4950000,12.0250000,12109095
20160712,000000,12.0750000,12.8050000,12.0000000,12.7850000,19239031
20160713,000000,12.8100000,13.0200000,12.5100000,12.5700000,15215685
20160714,000000,12.8050000,13.1450000,12.7450000,13.0250000,15953498
20160715,000000,13.0000000,13.3750000,12.9200000,13.0200000,14593159
20160718,000000,13.2750000,13.3750000,12.8650000,13.1200000,10430529
20160719,000000,13.1000000,13.2850000,12.5450000,12.7600000,14792804
20160720,000000,12.8150000,12.9800000,12.5400000,12.9500000,10389464
20160721,000000,12.9800000,13.4250000,12.9200000,13.1800000,15581586
20160722,000000,13.1300000,13.2500000,13.0400000,13.0850000,7186493
20160725,000000,13.1300000,13.3000000,13.0300000,13.1600000,6794538
20160726,000000,13.0050000,13.0050000,12.5450000,12.8500000,11689627
20160727,000000,12.9000000,12.9200000,12.1750000,12.4450000,21239130
20160728,000000,12.3000000,12.4000000,11.8750000,11.9100000,18532049
20160729,000000,11.8500000,12.2500000,11.8000000,12.0250000,16861911
20160801,000000,12.4500000,12.4950000,11.7200000,11.8050000,16193653
20160802,000000,11.7100000,11.7400000,11.2000000,11.2350000,19803377
20160803,000000,11.3150000,11.4200000,11.0600000,11.2000000,17392869
20160804,000000,11.4800000,11.7000000,11.3250000,11.3950000,12064273
20160805,000000,11.4400000,11.8000000,11.4000000,11.8000000,13397884
20160808,000000,11.9100000,12.2500000,11.9000000,12.1600000,12751377
20160809,000000,12.1100000,12.4000000,12.0150000,12.3750000,10578609
20160810,000000,12.2850000,12.8250000,12.2500000,12.7550000,17072888
20160811,000000,12.8050000,12.8350000,12.5100000,12.7650000,8459833
20160812,000000,12.7350000,12.8600000,12.6050000,12.7500000,6382158
20160815,000000,12.7800000,12.8550000,12.6950000,12.7600000,4310271
20160816,000000,12.6650000,12.8200000,12.5600000,12.6700000,5984943
20160817,000000,12.6700000,12.7600000,12.2350000,12.2850000,8886540
20160818,000000,12.4050000,12.4500000,12.1800000,12.3350000,6310847
20160819,000000,12.3700000,12.3850000,11.8400000,11.9500000,12498670
20160822,000000,11.9200000,12.2150000,11.8350000,11.9700000,7703961
20160823,000000,12.0500000,12.4200000,11.9700000,12.3950000,7843164
20160824,000000,12.3250000,12.8000000,12.2050000,12.6850000,9277283
20160825,000000,12.6100000,12.6700000,12.4100000,12.4950000,6188984
20160826,000000,12.5000000,12.6800000,12.3150000,12.5950000,6233582
20160829,000000,12.5150000,12.6550000,12.3800000,12.4150000,4143574
20160830,000000,12.5000000,12.8950000,12.4800000,12.8850000,8933979
20160831,000000,12.8800000,13.4300000,12.8150000,13.2100000,16511411
20160901,000000,13.3300000,13.8400000,13.0250000,13.0800000,18623545
20160902,000000,13.1550000,13.3750000,12.8270000,13.3200000,15161033
20160905,000000,13.4550000,13.4800000,13.1500000,13.2500000,8069498
20160906,000000,13.1400000,13.3300000,12.9000000,12.9000000,8932300
20160907,000000,12.8500000,13.0150000,12.5500000,12.9500000,11551356
20160908,000000,12.9450000,13.1400000,12.7150000,13.1100000,10607673
20160909,000000,13.1100000,13.8050000,12.9700000,13.6500000,21027206
20160912,000000,13.4500000,13.5550000,13.0550000,13.3000000,13667714
20160913,000000,13.3950000,13.4750000,13.0350000,13.0400000,9634627
20160914,000000,13.0400000,13.0850000,12.8000000,12.9450000,10051810
