<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160128,000000,44.9000000,45.5000000,44.9000000,45.4000000,70
20160129,000000,46.4000000,46.5000000,46.3000000,46.5000000,140
20160201,000000,46.5000000,46.5000000,46.5000000,46.5000000,10
20160202,000000,45.5000000,46.5000000,45.3000000,46.0000000,130
20160205,000000,45.4000000,46.4000000,45.4000000,46.4000000,30
20160209,000000,46.4000000,46.5000000,46.4000000,46.5000000,100
20160210,000000,46.1000000,46.1000000,45.6000000,45.9000000,40
20160211,000000,46.0000000,46.7000000,45.6000000,46.6000000,230
20160215,000000,46.5000000,46.5000000,46.5000000,46.5000000,20
20160216,000000,46.5000000,46.5000000,45.8000000,46.5000000,70
20160217,000000,45.7000000,46.5000000,45.3000000,45.9000000,920
20160218,000000,47.0000000,48.0000000,46.7000000,46.8000000,130
20160219,000000,48.5000000,48.5000000,45.1000000,45.9000000,520
20160222,000000,46.8000000,47.1000000,46.8000000,47.1000000,60
20160224,000000,47.9000000,47.9000000,47.9000000,47.9000000,10
20160225,000000,48.3000000,48.3000000,46.9000000,47.2000000,110
20160226,000000,48.2000000,48.2000000,45.4000000,46.3000000,60
20160229,000000,45.3000000,46.6000000,45.3000000,46.6000000,80
20160301,000000,46.7000000,46.8000000,45.6000000,46.8000000,150
20160302,000000,46.3000000,47.0000000,46.3000000,46.6000000,100
20160303,000000,48.5000000,48.5000000,45.3000000,47.8000000,400
20160304,000000,46.9000000,47.8000000,46.0000000,47.8000000,120
20160307,000000,46.4000000,58.0000000,46.4000000,48.1000000,2720
20160309,000000,47.8000000,48.6000000,46.7000000,47.5000000,680
20160311,000000,47.9000000,48.6000000,47.4000000,47.9000000,850
20160314,000000,48.3000000,48.4000000,47.3000000,47.9000000,200
20160315,000000,47.4000000,48.1000000,47.4000000,47.5000000,210
20160316,000000,47.8000000,48.6000000,47.3000000,48.6000000,720
20160317,000000,48.6000000,52.9000000,46.5000000,50.1000000,12820
20160318,000000,49.2000000,49.2000000,47.9000000,47.9000000,1760
20160321,000000,49.2000000,50.2000000,47.6000000,47.8000000,350
20160322,000000,48.0000000,49.2000000,48.0000000,48.8000000,370
20160323,000000,48.9000000,49.5000000,48.5000000,48.5000000,320
20160324,000000,48.4000000,48.4000000,47.4000000,47.4000000,150
20160325,000000,47.5000000,47.8000000,47.5000000,47.5000000,110
20160328,000000,48.0000000,48.0000000,48.0000000,48.0000000,30
20160329,000000,48.1000000,49.1000000,48.0000000,48.6000000,290
20160330,000000,48.2000000,49.4000000,47.6000000,48.7000000,220
20160331,000000,48.3000000,48.6000000,47.6000000,48.6000000,470
20160401,000000,48.3000000,48.3000000,48.3000000,48.3000000,10
20160404,000000,48.3000000,48.8000000,47.9000000,48.8000000,50
20160405,000000,47.9000000,48.9000000,47.6000000,47.8000000,140
20160406,000000,48.0000000,48.7000000,48.0000000,48.7000000,130
20160407,000000,47.8000000,48.0000000,47.7000000,47.7000000,60
20160408,000000,47.9000000,48.9000000,47.6000000,48.9000000,130
20160411,000000,47.7000000,48.0000000,47.5000000,48.0000000,1000
20160413,000000,48.1000000,48.5000000,44.1000000,47.1000000,2060
