<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190131,000000,33.8700000,34.2500000,33.5300000,34.1300000,5008175
20190228,000000,33.9200000,34.3100000,33.8000000,34.1100000,5678376
20190318,000000,33.2900000,33.3800000,33.0400000,33.0500000,170666
20190319,000000,33.3200000,33.5150000,33.1900000,33.4400000,214238
20190320,000000,33.2200000,33.2200000,32.6600000,32.7000000,189073
20190321,000000,33.8900000,34.0350000,33.5900000,33.9800000,188950
20190322,000000,34.1500000,34.7800000,33.5600000,34.5000000,1982111
20190325,000000,34.8100000,35.2750000,34.5000000,34.9000000,1725677
20190326,000000,34.5900000,35.5550000,34.5600000,35.5500000,987446
20190327,000000,35.5700000,35.8400000,35.3900000,35.7000000,635516
20190328,000000,35.1600000,35.9300000,35.0750000,35.5650000,732578
20190329,000000,35.8200000,36.0300000,35.6000000,35.7800000,507362
20190401,000000,35.8600000,36.0300000,35.4400000,35.6100000,667122
20190402,000000,35.5600000,35.9100000,35.3900000,35.8350000,619046
20190403,000000,35.8800000,36.0900000,35.7100000,35.9300000,447616
20190404,000000,35.8300000,36.4900000,35.6300000,36.4700000,692250
20190405,000000,36.3300000,36.5200000,36.1200000,36.4900000,304779
20190408,000000,36.7000000,36.8200000,36.3500000,36.6700000,288870
20190409,000000,36.7500000,36.7500000,36.2150000,36.5900000,299173
20190410,000000,36.5300000,36.6800000,36.2000000,36.2600000,351408
20190411,000000,35.9100000,36.2750000,35.6600000,35.9700000,431201
20190412,000000,36.1100000,36.4150000,35.5950000,36.2500000,686009
20190415,000000,35.9800000,36.2200000,35.7800000,36.1800000,747102
20190416,000000,35.1800000,35.2200000,34.6850000,34.7600000,698637
20190417,000000,34.7400000,34.9500000,33.9700000,34.1800000,1453620
20190418,000000,34.1100000,34.1900000,32.8750000,33.0050000,1113976
20190422,000000,33.2000000,33.2200000,32.3500000,32.5600000,743868
20190423,000000,32.2800000,32.6400000,32.2400000,32.3600000,512358
20190424,000000,32.4100000,32.6000000,32.0800000,32.2000000,556557
20190425,000000,32.6300000,32.7200000,31.1700000,31.6300000,641647
20190426,000000,31.9400000,31.9400000,31.3700000,31.4700000,538976
20190429,000000,31.3900000,31.4400000,30.5950000,30.7400000,525472
20190430,000000,30.7400000,31.0900000,30.5300000,31.0900000,1602366
20190501,000000,30.8900000,31.0650000,30.0900000,30.3400000,514022
20190502,000000,30.1000000,30.4150000,29.9450000,30.0800000,433062
20190503,000000,30.4300000,30.6400000,30.1850000,30.2200000,365130
20190506,000000,30.0650000,30.1200000,29.8200000,29.9300000,242493
20190507,000000,30.0000000,30.8300000,29.8600000,30.7100000,484882
20190508,000000,30.8500000,31.1200000,30.0200000,30.2100000,472319
20190509,000000,30.1300000,30.4600000,29.8400000,29.9200000,396466
20190510,000000,29.9700000,30.3650000,29.7700000,30.1400000,390040
20190513,000000,30.5100000,31.0700000,30.2100000,30.9100000,521672
20190514,000000,30.8600000,30.8900000,30.6250000,30.8300000,322358
20190515,000000,30.9600000,31.0100000,30.6300000,30.6650000,347122
